ticker,date,sector,pct_positive,pct_negative,pct_neutral,sentiment_score,uncertainty_rate,call_date,actual_date,CAR+1,CAR+5,CAR+10,CAR+20,CAR-1,CAR-5,CAR-10,event_day_CAR,label
VZ,2023-10-24,Telecom,0.62,0.0533,0.3267,0.5667,4.0783,2023-10-24,2023-10-24,-0.003432,0.037016,0.016418,0.016039,0.085165,0.116959,0.105082,-0.003432,1
VZ,2024-10-22,Telecom,0.2733,0.0133,0.7133,0.26,2.6191,2024-10-22,2024-10-22,0.041909,-0.001439,0.005566,-0.001604,-0.049812,-0.057318,-0.060021,0.041909,1
VZ,2025-10-29,Telecom,0.4933,0.06,0.4467,0.4333,3.8323,2025-10-29,2025-10-29,-0.020089,0.001339,0.020507,0.027879,0.022154,-0.019034,-0.037615,-0.020089,1
VZ,2024-01-23,Telecom,0.6133,0.04,0.3467,0.5733,4.4214,2024-01-23,2024-01-23,-0.023589,-0.006754,-0.045568,-0.05223,0.064037,0.05392,0.049258,-0.023589,0
VZ,2025-01-24,Telecom,0.46,0.02,0.52,0.44,3.7712,2025-01-24,2025-01-24,0.041965,0.006322,0.020442,0.113298,0.012108,0.003698,0.002052,0.041965,1
VZ,2026-01-30,Telecom,0.5867,0.0067,0.4067,0.58,3.4949,2026-01-30,2026-01-30,-0.00295,0.042158,0.115623,0.13072,0.121295,0.122543,0.131488,-0.00295,1
WMT,2023-05-18,Consumer,0.46,0.0933,0.4467,0.3667,4.5381,2023-05-18,2023-05-18,-0.008844,-0.024132,-0.038224,-0.025345,0.003341,-0.028003,-0.028158,-0.008844,0
WMT,2023-08-17,Consumer,0.5333,0.0333,0.4333,0.5,3.49,2023-08-17,2023-08-17,0.013906,0.006332,0.012221,0.037674,-0.014796,-0.006942,0.00902,0.013906,1
WMT,2023-11-16,Consumer,0.44,0.1133,0.4467,0.3267,5.5946,2023-11-16,2023-11-16,-0.005666,-0.011133,-0.030596,-0.064162,-0.082151,-0.085851,-0.102473,-0.005666,0
WMT,2024-02-20,Consumer,0.4467,0.0533,0.5,0.3933,2.748,2024-02-20,2024-02-20,-0.013188,-0.003925,0.003248,0.000546,0.03779,0.041072,0.034142,-0.013188,1
WMT,2024-05-16,Consumer,0.5267,0.0333,0.44,0.4933,3.7222,2024-05-16,2024-05-16,0.008561,0.01813,0.029836,0.020373,0.071922,0.042688,0.028877,0.008561,1
WMT,2024-08-15,Consumer,0.5,0.0333,0.4667,0.4667,2.6293,2024-08-15,2024-08-15,0.004308,0.030044,0.037704,0.088369,0.048691,0.039334,0.030048,0.004308,1
WMT,2024-11-19,Consumer,0.4933,0.0267,0.48,0.4667,3.3046,2024-11-19,2024-11-19,0.006359,0.036854,0.061238,0.089458,0.026316,0.030001,0.011312,0.006359,1
WMT,2025-02-20,Consumer,0.52,0.0333,0.4467,0.4867,4.7331,2025-02-20,2025-02-20,-0.007893,0.037178,0.035278,-0.043728,-0.061128,-0.073405,-0.061435,-0.007893,1
WMT,2022-05-17,Consumer,0.4467,0.1133,0.44,0.3333,4.0288,2022-05-17,2022-05-17,-0.027599,-0.019628,-0.048028,-0.019814,-0.134328,-0.142648,-0.116257,-0.027599,0
WMT,2022-08-16,Consumer,0.46,0.0933,0.4467,0.3667,3.9516,2022-08-16,2022-08-16,0.008174,0.001846,0.023847,0.049755,0.049097,0.041579,0.001966,0.008174,1
WMT,2022-11-15,Consumer,0.3933,0.0533,0.5533,0.34,5.0378,2022-11-15,2022-11-15,0.014818,0.025287,0.010714,-0.003756,0.056866,-0.010602,0.004251,0.014818,1
WMT,2023-02-21,Consumer,0.5133,0.0667,0.42,0.4467,5.749,2023-02-21,2023-02-21,-0.019595,-0.028204,-0.052789,-0.046359,0.026139,0.043015,0.073477,-0.019595,0
